*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pcb_r2
*Date=05:00:44
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;THT;80.4359;-36.7072;-90;Bottom;EnL
2;;;45.466;-25.258;0;Bottom;Copper Fill60
3;;;71.374;-30.211;0;Bottom;Copper Fill97
4;;;68.9864;-84.948;0;Bottom;Copper Fill19
5;;;70.9422;-42.8602;0;Bottom;Copper Fill88
6;;;29.6672;-95.3366;0;Bottom;Copper Fill4
7;;THT;34.7159;-32.8972;-90;Bottom;J73
8;;;74.5998;-50.658;0;Bottom;Copper Fill30
9;;;109.655;-59.8324;-90;Bottom;IMG2
10;;;109.312;-77.4464;0;Bottom;Hole5
11;;;71.374;-27.7726;0;Bottom;Copper Fill99
12;;;32.1758;-93.8572;0;Bottom;Via13
13;;;39.8018;-27.4932;0;Bottom;Copper Fill101
14;470;1206 [SMD];91.5857;-98.9372;0;Bottom;470R
15;;;75.3364;-25.258;0;Bottom;Copper Fill61
16;;;10.4993;-77.3962;0;Bottom;Hole7
17;;;78.6638;-55.23;0;Bottom;Copper Fill28
18;;;52.705;-33.005;0;Bottom;Copper Fill37
19;;THT;74.0859;-86.2372;0;Bottom;J60
20;0.47mF;100 mil [THT, electrolytic];38.5259;-18.9272;180;Bottom;100uF
21;;;57.7342;-87.488;0;Bottom;Copper Fill13
22;;;24.638;-72.0194;0;Bottom;Copper Fill75
23;;;43.7134;-34.529;0;Bottom;Copper Fill48
24;;;99.4858;-83.6972;0;Bottom;Via15
25;;THT;32.8109;-65.9172;0;Bottom;J76
26;;;92.837;-92.0346;0;Bottom;Copper Fill78
27;;DIP (Dual Inline) [THT];32.1759;-39.2472;-90;Bottom;7404
28;;;9.3726;-61.4784;0;Bottom;Copper Fill76
29;;;62.484;-90.028;0;Bottom;Copper Fill8
30;;THT;20.3671;-20.5598;-45;Bottom;J75
31;;THT;76.6259;-48.1372;0;Bottom;J63
32;;;59.9948;-60.0052;0;Bottom;Copper Fill71
33;;;68.9864;-87.488;0;Bottom;Copper Fill15
34;;;71.3994;-37.958;0;Bottom;Copper Fill92
35;;;76.708;-34.8084;0;Bottom;Copper Fill49
36;;dipswitch-02;91.8659;-41.1522;-90;Bottom;SW1
37;;;67.7358;-23.3723;0;Bottom;Via17
38;;;42.3926;-30.6174;0;Bottom;Copper Fill56
39;;;71.1494;-7.51542;0;Bottom;Hole10
40;;;64.643;-101.483;0;Bottom;Copper Fill1
41;;;25.6032;-21.8544;0;Bottom;Copper Fill66
42;;;60.071;-83.9828;0;Bottom;Copper Fill79
43;;;59.8678;-72.1464;0;Bottom;Copper Fill26
44;;3 mm [THT];30.3083;-29.0498;-45;Bottom;LED10
